Date,Close
1/1/2004,800
1/2/2004,825
1/5/2004,825
1/6/2004,825
1/7/2004,800
1/8/2004,825
1/9/2004,875
1/12/2004,875
1/13/2004,875
1/14/2004,900
1/15/2004,900
1/16/2004,900
1/19/2004,875
1/20/2004,875
1/21/2004,875
1/22/2004,875
1/23/2004,900
1/26/2004,900
1/27/2004,875
1/28/2004,850
1/29/2004,850
1/30/2004,850
2/2/2004,850
2/3/2004,825
2/4/2004,825
2/5/2004,825
2/6/2004,850
2/9/2004,850
2/10/2004,850
2/11/2004,850
2/12/2004,825
2/13/2004,850
2/16/2004,850
2/17/2004,825
2/18/2004,850
2/19/2004,850
2/20/2004,850
2/23/2004,850
2/24/2004,850
2/25/2004,875
2/26/2004,850
2/27/2004,850
3/1/2004,850
3/2/2004,825
3/3/2004,825
3/4/2004,850
3/5/2004,825
3/8/2004,825
3/9/2004,775
3/10/2004,800
3/11/2004,775
3/12/2004,775
3/15/2004,750
3/16/2004,750
3/17/2004,775
3/18/2004,775
3/19/2004,775
3/22/2004,775
3/23/2004,775
3/24/2004,775
3/25/2004,750
3/26/2004,750
3/29/2004,775
3/30/2004,800
3/31/2004,800
4/1/2004,775
4/2/2004,825
4/5/2004,825
4/6/2004,825
4/7/2004,800
4/8/2004,750
4/9/2004,750
4/12/2004,775
4/13/2004,775
4/14/2004,775
4/15/2004,750
4/16/2004,725
4/19/2004,750
4/20/2004,775
4/21/2004,775
4/22/2004,750
4/23/2004,775
4/26/2004,750
4/27/2004,775
4/28/2004,775
4/29/2004,775
4/30/2004,750
5/3/2004,750
5/4/2004,725
5/5/2004,725
5/6/2004,725
5/7/2004,700
5/10/2004,675
5/11/2004,700
5/12/2004,700
5/13/2004,650
5/14/2004,675
5/17/2004,625
5/18/2004,650
5/19/2004,650
5/20/2004,650
5/21/2004,650
5/24/2004,675
5/25/2004,650
5/26/2004,650
5/27/2004,675
5/28/2004,700
5/31/2004,700
6/1/2004,675
6/2/2004,675
6/3/2004,675
6/4/2004,675
6/7/2004,675
6/8/2004,675
6/9/2004,675
6/10/2004,675
6/11/2004,675
6/14/2004,675
6/15/2004,675
6/16/2004,650
6/17/2004,675
6/18/2004,675
6/21/2004,675
6/22/2004,675
6/23/2004,675
6/24/2004,675
6/25/2004,675
6/28/2004,650
6/29/2004,675
6/30/2004,700
7/1/2004,675
7/2/2004,725
7/5/2004,725
7/6/2004,725
7/7/2004,750
7/8/2004,725
7/9/2004,750
7/12/2004,725
7/13/2004,725
7/14/2004,725
7/15/2004,725
7/16/2004,725
7/19/2004,700
7/20/2004,700
7/21/2004,700
7/22/2004,700
7/23/2004,700
7/26/2004,700
7/27/2004,700
7/28/2004,700
7/29/2004,700
7/30/2004,700
8/2/2004,700
8/3/2004,700
8/4/2004,700
8/5/2004,700
8/6/2004,700
8/9/2004,700
8/10/2004,700
8/11/2004,700
8/12/2004,700
8/13/2004,700
8/16/2004,675
8/17/2004,675
8/18/2004,625
8/19/2004,650
8/20/2004,675
8/23/2004,675
8/24/2004,675
8/25/2004,650
8/26/2004,650
8/27/2004,650
8/30/2004,675
8/31/2004,675
9/1/2004,700
9/2/2004,700
9/3/2004,700
9/6/2004,700
9/7/2004,725
9/8/2004,725
9/9/2004,725
9/10/2004,750
9/13/2004,750
9/14/2004,750
9/15/2004,750
9/16/2004,725
9/17/2004,750
9/20/2004,750
9/21/2004,725
9/22/2004,725
9/23/2004,725
9/24/2004,725
9/27/2004,725
9/28/2004,725
9/29/2004,725
9/30/2004,675
10/1/2004,725
10/4/2004,725
10/5/2004,700
10/6/2004,700
